gpio,time,temperature,humidity,measure_name
22,1695322625304,79.21,55.42,metric
22,1695323075342,78.92,55.61,metric
22,1695323160349,79.47,55.77,metric
22,1695323416587,79.75,55.18,metric
22,1695323450510,79.19,54.75,metric
22,1695324027860,79.62,55.6,metric
22,1695324281971,79.47,54.7,metric
22,1695324339499,78.99,55.76,metric
22,1695324488928,79.04,55.95,metric
22,1695324677014,79.6,55.51,metric
22,1695325023045,79.05,54.67,metric
22,1695325264067,78.84,55.07,metric
22,1695325528834,78.93,54.03,metric
22,1695325709119,79.37,54.81,metric
22,1695326165761,79.03,54.72,metric
22,1695326350993,79.01,54.32,metric
22,1695326371035,79.71,54.47,metric
22,1695326587992,79.35,54.42,metric
22,1695326734407,79.56,54.64,metric
22,1695326825515,79.47,54.8,metric
22,1695327061252,78.86,54.35,metric
22,1695327098722,79.7,54.86,metric
22,1695327496352,79.65,54.03,metric
22,1695327535914,78.84,53.82,metric
